Алгебра и геометрия Экзамен,Математический анализ Зачет с оценкой,Операционные системы Экзамен,Базы данных Экзамен,Численные методы Экзамен,Визуальное программирование Зачет с оценкой,Геоинформационные системы Экзамен,Теория вероятностей и математическая статистика Зачет с оценкой,"Производственная практика, научно-исследовательская работа Зачет с оценкой_x","Производственная практика, научно-исследовательская работа Зачет с оценкой_y",Группа
99,139,91,100,100,100,100,98,100,91,ИСТ-171
94,133,91,100,91,100,100,100,100,100,ИСТ-171
91,121,100,100,91,79,83,85,100,73,ИСТ-171
95,91,95,100,91,100,93,93,100,96,ИСТ-171
80,113,60,60,62,60,60,61,60,0,ИСТ-171
61,121,91,60,80,61,71,71,71,92,ИСТ-171
60,106,91,60,66,60,60,61,71,93,ИСТ-171
71,107,91,60,100,71,60,61,71,91,ИСТ-171
60,106,91,60,92,61,80,66,91,71,ИСТ-171
73,96,75,60,65,60,60,65,62,92,ИСТ-171
60,107,63,60,60,60,60,61,60,0,ИСТ-171
60,91,60,60,60,60,60,61,60,0,ИСТ-171
60,112,60,60,62,60,60,61,60,0,ИСТ-171
61,91,60,60,60,61,62,61,60,0,ИСТ-171
60,91,61,60,60,60,60,61,60,0,ИСТ-171
60,94,60,60,60,60,60,63,60,0,ИСТ-171
60,91,71,100,91,60,60,61,62,0,ИСТ-171
60,60,60,60,60,60,60,61,60,0,ИСТ-171
60,60,60,60,60,60,60,61,63,0,ИСТ-171
60,60,60,60,60,91,60,61,91,0,ИСТ-171
0,0,93,100,91,92,86,80,91,92,ИСТ-171
0,0,71,60,60,75,71,75,91,100,ИСТ-171
105,106,92,100,91,91,100,95,93,100,ИВТ-171
91,108,95,100,91,91,98,80,92,91,ИВТ-171
71,97,91,75,91,80,92,95,65,0,ИВТ-171
72,80,91,100,91,91,98,71,91,100,ИВТ-171
71,80,91,100,98,73,75,65,93,71,ИВТ-171
60,100,100,100,91,91,91,93,91,91,ИВТ-171
60,93,91,100,91,77,78,73,93,95,ИВТ-171
60,93,91,71,91,61,72,71,65,0,ИВТ-171
80,95,85,100,91,61,79,61,85,92,ИВТ-171
101,147,100,91,96,92,98,91,92,93,ПРИ-171
92,128,100,75,92,91,91,80,93,93,ПРИ-171
94,146,60,71,65,73,60,98,60,0,ПРИ-171
71,122,91,75,91,91,82,95,92,98,ПРИ-171
71,129,91,75,75,95,75,85,91,73,ПРИ-171
72,106,91,75,91,84,81,80,91,92,ПРИ-171
61,100,91,71,80,79,82,75,91,92,ПРИ-171
60,102,91,80,91,91,80,85,91,96,ПРИ-171
61,104,91,80,75,75,80,63,65,0,ПРИ-171
60,91,61,60,71,60,60,85,92,96,ПРИ-171
62,94,61,60,65,92,78,65,85,92,ПРИ-171
66,86,71,65,72,71,75,73,60,0,ПРИ-171
60,91,60,60,60,60,60,92,63,0,ПРИ-171
60,71,60,60,60,60,60,61,60,0,ПРИ-171
