Матч под номером 0 выиграет Boston Celtics, с вероятностью = 67.68%
Матч под номером 1 выиграет Golden State Warriors, с вероятностью = 67.42%
Матч под номером 2 выиграет Milwaukee Bucks, с вероятностью = 68.03%
Матч под номером 3 выиграет Detroit Pistons, с вероятностью = 67.41%
Матч под номером 4 выиграет Indiana Pacers, с вероятностью = 67.35%
Матч под номером 5 выиграет Orlando Magic, с вероятностью = 67.80%
Матч под номером 6 выиграет New York Knicks, с вероятностью = 67.96%
Матч под номером 7 выиграет Toronto Raptors, с вероятностью = 67.39%
Матч под номером 8 выиграет New Orleans Pelicans, с вероятностью = 67.54%
Матч под номером 9 выиграет San Antonio Spurs, с вероятностью = 68.02%
Матч под номером 10 выиграет Utah Jazz, с вероятностью = 67.56%
Матч под номером 11 выиграет Denver Nuggets, с вероятностью = 67.63%
Матч под номером 12 выиграет Phoenix Suns, с вероятностью = 67.60%
Матч под номером 13 выиграет Philadelphia 76ers, с вероятностью = 67.54%
Матч под номером 14 выиграет Miami Heat, с вероятностью = 67.70%
Матч под номером 15 выиграет Portland Trail Blazers, с вероятностью = 67.36%
Матч под номером 16 выиграет Charlotte Hornets, с вероятностью = 67.80%
Матч под номером 17 выиграет Brooklyn Nets, с вероятностью = 67.49%
Матч под номером 18 выиграет Memphis Grizzlies, с вероятностью = 67.43%
Матч под номером 19 выиграет Minnesota Timberwolves, с вероятностью = 67.93%
Матч под номером 20 выиграет New Orleans Pelicans, с вероятностью = 67.84%
Матч под номером 21 выиграет Toronto Raptors, с вероятностью = 67.45%
Матч под номером 22 выиграет Milwaukee Bucks, с вероятностью = 67.50%
Матч под номером 23 выиграет Los Angeles Clippers, с вероятностью = 67.73%
Матч под номером 24 выиграет Golden State Warriors, с вероятностью = 67.87%
Матч под номером 25 выиграет Indiana Pacers, с вероятностью = 68.02%
Матч под номером 26 выиграет Toronto Raptors, с вероятностью = 68.04%
Матч под номером 27 выиграет Boston Celtics, с вероятностью = 67.40%
Матч под номером 28 выиграет Philadelphia 76ers, с вероятностью = 67.80%
Матч под номером 29 выиграет Detroit Pistons, с вероятностью = 67.61%
Матч под номером 30 выиграет Charlotte Hornets, с вероятностью = 67.50%
Матч под номером 31 выиграет Dallas Mavericks, с вероятностью = 67.86%
Матч под номером 32 выиграет Denver Nuggets, с вероятностью = 67.68%
Матч под номером 33 выиграет Portland Trail Blazers, с вероятностью = 67.84%
Матч под номером 34 выиграет Houston Rockets, с вероятностью = 67.64%
Матч под номером 35 выиграет Atlanta Hawks, с вероятностью = 67.47%
Матч под номером 36 выиграет Sacramento Kings, с вероятностью = 67.79%
Матч под номером 37 выиграет Denver Nuggets, с вероятностью = 67.96%
Матч под номером 38 выиграет Los Angeles Clippers, с вероятностью = 68.01%
Матч под номером 39 выиграет Orlando Magic, с вероятностью = 67.35%
Матч под номером 40 выиграет Toronto Raptors, с вероятностью = 67.93%
Матч под номером 41 выиграет Milwaukee Bucks, с вероятностью = 68.01%
Матч под номером 42 выиграет Minnesota Timberwolves, с вероятностью = 67.72%
Матч под номером 43 выиграет Dallas Mavericks, с вероятностью = 67.75%
Матч под номером 44 выиграет Memphis Grizzlies, с вероятностью = 67.53%
Матч под номером 45 выиграет Washington Wizards, с вероятностью = 67.82%
Матч под номером 46 выиграет Golden State Warriors, с вероятностью = 67.44%
Матч под номером 47 выиграет San Antonio Spurs, с вероятностью = 67.90%
Матч под номером 48 выиграет Detroit Pistons, с вероятностью = 68.01%
Матч под номером 49 выиграет New Orleans Pelicans, с вероятностью = 67.78%
Матч под номером 50 выиграет Denver Nuggets, с вероятностью = 67.43%
Матч под номером 51 выиграет Atlanta Hawks, с вероятностью = 67.55%
Матч под номером 52 выиграет Brooklyn Nets, с вероятностью = 67.93%
Матч под номером 53 выиграет Miami Heat, с вероятностью = 67.92%
Матч под номером 54 выиграет Toronto Raptors, с вероятностью = 67.98%
Матч под номером 55 выиграет Chicago Bulls, с вероятностью = 67.94%
Матч под номером 56 выиграет Utah Jazz, с вероятностью = 67.82%
Матч под номером 57 выиграет Indiana Pacers, с вероятностью = 67.79%
Матч под номером 58 выиграет Milwaukee Bucks, с вероятностью = 67.92%
Матч под номером 59 выиграет Los Angeles Lakers, с вероятностью = 67.71%
Матч под номером 60 выиграет Sacramento Kings, с вероятностью = 67.81%
Матч под номером 61 выиграет Golden State Warriors, с вероятностью = 67.59%
Матч под номером 62 выиграет Detroit Pistons, с вероятностью = 68.00%
Матч под номером 63 выиграет Portland Trail Blazers, с вероятностью = 67.42%
Матч под номером 64 выиграет Boston Celtics, с вероятностью = 67.88%
Матч под номером 65 выиграет Los Angeles Lakers, с вероятностью = 67.93%
Матч под номером 66 выиграет Charlotte Hornets, с вероятностью = 67.97%
Матч под номером 67 выиграет Golden State Warriors, с вероятностью = 67.56%
Матч под номером 68 выиграет Toronto Raptors, с вероятностью = 67.74%
Матч под номером 69 выиграет Los Angeles Clippers, с вероятностью = 67.89%
Матч под номером 70 выиграет Milwaukee Bucks, с вероятностью = 67.93%
Матч под номером 71 выиграет New Orleans Pelicans, с вероятностью = 67.63%
Матч под номером 72 выиграет Sacramento Kings, с вероятностью = 67.72%
Матч под номером 73 выиграет Boston Celtics, с вероятностью = 67.58%
Матч под номером 74 выиграет Utah Jazz, с вероятностью = 67.56%
Матч под номером 75 выиграет Chicago Bulls, с вероятностью = 67.69%
Матч под номером 76 выиграет Indiana Pacers, с вероятностью = 67.51%
Матч под номером 77 выиграет Philadelphia 76ers, с вероятностью = 67.39%
Матч под номером 78 выиграет Memphis Grizzlies, с вероятностью = 67.89%
Матч под номером 79 выиграет Miami Heat, с вероятностью = 68.03%
Матч под номером 80 выиграет Milwaukee Bucks, с вероятностью = 68.00%
Матч под номером 81 выиграет San Antonio Spurs, с вероятностью = 67.80%
Матч под номером 82 выиграет Golden State Warriors, с вероятностью = 67.39%
Матч под номером 83 выиграет Utah Jazz, с вероятностью = 67.86%
Матч под номером 84 выиграет Oklahoma City Thunder, с вероятностью = 68.02%
Матч под номером 85 выиграет Los Angeles Clippers, с вероятностью = 68.02%
Матч под номером 86 выиграет Portland Trail Blazers, с вероятностью = 67.64%
Матч под номером 87 выиграет Philadelphia 76ers, с вероятностью = 67.85%
Матч под номером 88 выиграет Sacramento Kings, с вероятностью = 67.91%
Матч под номером 89 выиграет New York Knicks, с вероятностью = 67.83%
Матч под номером 90 выиграет Golden State Warriors, с вероятностью = 67.72%
Матч под номером 91 выиграет Milwaukee Bucks, с вероятностью = 67.67%
Матч под номером 92 выиграет Minnesota Timberwolves, с вероятностью = 67.96%
Матч под номером 93 выиграет San Antonio Spurs, с вероятностью = 67.39%
Матч под номером 94 выиграет Denver Nuggets, с вероятностью = 67.71%
Матч под номером 95 выиграет Charlotte Hornets, с вероятностью = 68.01%
Матч под номером 96 выиграет Cleveland Cavaliers, с вероятностью = 67.87%
Матч под номером 97 выиграет Sacramento Kings, с вероятностью = 67.79%
Матч под номером 98 выиграет Boston Celtics, с вероятностью = 67.91%
Матч под номером 99 выиграет Toronto Raptors, с вероятностью = 67.58%
Матч под номером 100 выиграет Portland Trail Blazers, с вероятностью = 67.69%
Матч под номером 101 выиграет Memphis Grizzlies, с вероятностью = 67.45%
Матч под номером 102 выиграет Oklahoma City Thunder, с вероятностью = 67.95%
Матч под номером 103 выиграет Brooklyn Nets, с вероятностью = 67.60%
Матч под номером 104 выиграет Denver Nuggets, с вероятностью = 67.94%
Матч под номером 105 выиграет Minnesota Timberwolves, с вероятностью = 67.79%
Матч под номером 106 выиграет Indiana Pacers, с вероятностью = 67.42%
Матч под номером 107 выиграет Golden State Warriors, с вероятностью = 67.93%
Матч под номером 108 выиграет Los Angeles Lakers, с вероятностью = 67.61%
Матч под номером 109 выиграет San Antonio Spurs, с вероятностью = 67.70%
Матч под номером 110 выиграет Oklahoma City Thunder, с вероятностью = 67.98%
Матч под номером 111 выиграет Denver Nuggets, с вероятностью = 67.49%
Матч под номером 112 выиграет Philadelphia 76ers, с вероятностью = 67.92%
Матч под номером 113 выиграет Sacramento Kings, с вероятностью = 67.68%
Матч под номером 114 выиграет Boston Celtics, с вероятностью = 67.53%
Матч под номером 115 выиграет Portland Trail Blazers, с вероятностью = 67.44%
Матч под номером 116 выиграет Los Angeles Clippers, с вероятностью = 67.46%
Матч под номером 117 выиграет Houston Rockets, с вероятностью = 67.39%
Матч под номером 118 выиграет Indiana Pacers, с вероятностью = 67.82%
Матч под номером 119 выиграет Oklahoma City Thunder, с вероятностью = 67.90%
Матч под номером 120 выиграет New York Knicks, с вероятностью = 67.38%
Матч под номером 121 выиграет Memphis Grizzlies, с вероятностью = 67.82%
Матч под номером 122 выиграет Toronto Raptors, с вероятностью = 67.86%
Матч под номером 123 выиграет Golden State Warriors, с вероятностью = 67.81%
Матч под номером 124 выиграет Philadelphia 76ers, с вероятностью = 67.72%
Матч под номером 125 выиграет Charlotte Hornets, с вероятностью = 67.78%
Матч под номером 126 выиграет Indiana Pacers, с вероятностью = 67.59%
Матч под номером 127 выиграет Atlanta Hawks, с вероятностью = 67.82%
Матч под номером 128 выиграет Houston Rockets, с вероятностью = 67.48%
Матч под номером 129 выиграет San Antonio Spurs, с вероятностью = 67.88%
Матч под номером 130 выиграет Denver Nuggets, с вероятностью = 67.68%
Матч под номером 131 выиграет Los Angeles Lakers, с вероятностью = 67.58%
Матч под номером 132 выиграет Milwaukee Bucks, с вероятностью = 67.93%
Матч под номером 133 выиграет Brooklyn Nets, с вероятностью = 67.60%
Матч под номером 134 выиграет Washington Wizards, с вероятностью = 67.79%
Матч под номером 135 выиграет Orlando Magic, с вероятностью = 67.38%
Матч под номером 136 выиграет Phoenix Suns, с вероятностью = 67.93%
Матч под номером 137 выиграет Portland Trail Blazers, с вероятностью = 67.66%
Матч под номером 138 выиграет Toronto Raptors, с вероятностью = 67.54%
Матч под номером 139 выиграет Miami Heat, с вероятностью = 67.72%
Матч под номером 140 выиграет Houston Rockets, с вероятностью = 67.56%
Матч под номером 141 выиграет Orlando Magic, с вероятностью = 67.77%
Матч под номером 142 выиграет Chicago Bulls, с вероятностью = 67.58%
Матч под номером 143 выиграет Oklahoma City Thunder, с вероятностью = 67.68%
Матч под номером 144 выиграет Denver Nuggets, с вероятностью = 67.75%
Матч под номером 145 выиграет Toronto Raptors, с вероятностью = 67.90%
Матч под номером 146 выиграет Golden State Warriors, с вероятностью = 67.69%
Матч под номером 147 выиграет Los Angeles Clippers, с вероятностью = 67.82%
Матч под номером 148 выиграет Charlotte Hornets, с вероятностью = 68.02%
Матч под номером 149 выиграет Dallas Mavericks, с вероятностью = 67.83%
Матч под номером 150 выиграет Brooklyn Nets, с вероятностью = 67.41%
