Категория: Искусство и развлечения

Месяц,Уилл Смит: (Россия),Киану Ривз: (Россия),Джонни Депп: (Россия)
2004-01,0,0,100
2004-02,0,0,48
2004-03,0,0,0
2004-04,0,43,85
2004-05,0,0,38
2004-06,0,39,0
2004-07,0,43,43
2004-08,0,40,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,33,0
2004-12,0,0,0
2005-01,58,29,58
2005-02,0,0,85
2005-03,0,23,23
2005-04,52,52,0
2005-05,0,47,0
2005-06,24,0,0
2005-07,0,25,25
2005-08,0,24,49
2005-09,0,21,21
2005-10,0,0,19
2005-11,0,0,0
2005-12,0,0,17
2006-01,0,0,33
2006-02,0,0,32
2006-03,0,14,41
2006-04,14,28,41
2006-05,26,0,52
2006-06,0,0,28
2006-07,0,14,99
2006-08,0,0,64
2006-09,0,12,81
2006-10,0,0,29
2006-11,9,18,35
2006-12,8,0,42
2007-01,0,0,80
2007-02,8,8,47
2007-03,7,14,14
2007-04,0,6,32
2007-05,0,12,18
2007-06,19,13,50
2007-07,6,25,96
2007-08,0,6,79
2007-09,0,0,32
2007-10,13,9,17
2007-11,0,8,31
2007-12,8,15,19
2008-01,11,15,59
2008-02,18,18,32
2008-03,6,3,44
2008-04,9,13,28
2008-05,9,9,27
2008-06,16,3,20
2008-07,10,0,23
2008-08,6,16,20
2008-09,14,17,17
2008-10,5,17,34
2008-11,13,10,31
2008-12,15,29,34
2009-01,29,15,34
2009-02,20,15,32
2009-03,15,11,22
2009-04,7,7,28
2009-05,9,5,14
2009-06,22,2,31
2009-07,18,10,41
2009-08,18,26,29
2009-09,9,12,21
2009-10,8,19,17
2009-11,25,4,35
2009-12,14,18,26
2010-01,8,14,22
2010-02,12,2,33
2010-03,7,9,37
2010-04,10,4,22
2010-05,13,13,13
2010-06,16,11,25
2010-07,4,7,29
2010-08,17,31,33
2010-09,9,15,15
2010-10,2,14,20
2010-11,14,11,24
2010-12,8,12,30
2011-01,16,11,57
2011-02,15,15,41
2011-03,11,11,30
2011-04,13,10,32
2011-05,11,8,46
2011-06,11,11,46
2011-07,15,11,38
2011-08,16,11,37
2011-09,16,11,22
2011-10,13,13,29
2011-11,16,15,37
2011-12,14,9,30
2012-01,18,12,41
2012-02,10,14,29
2012-03,10,14,40
2012-04,11,7,31
2012-05,33,11,61
2012-06,23,26,63
2012-07,17,21,45
2012-08,20,18,33
2012-09,17,18,29
2012-10,13,11,37
2012-11,13,11,26
2012-12,11,15,49
2013-01,15,11,39
2013-02,13,10,32
2013-03,17,10,40
2013-04,15,13,37
2013-05,23,18,36
2013-06,40,13,54
2013-07,27,14,61
2013-08,26,16,43
2013-09,19,12,28
2013-10,10,8,31
2013-11,17,13,32
2013-12,12,18,23
2014-01,13,24,33
2014-02,12,14,26
2014-03,11,16,30
2014-04,9,15,29
2014-05,9,10,26
2014-06,11,14,32
2014-07,10,11,39
2014-08,14,10,24
2014-09,10,14,25
2014-10,10,10,25
2014-11,8,12,27
2014-12,11,17,22
2015-01,13,28,34
2015-02,21,29,35
2015-03,25,20,30
2015-04,13,13,29
2015-05,14,15,30
2015-06,13,15,20
2015-07,13,15,31
2015-08,13,15,35
2015-09,12,15,29
2015-10,11,14,27
2015-11,11,19,28
2015-12,12,17,24
2016-01,18,13,34
2016-02,14,15,30
2016-03,12,15,27
2016-04,12,11,21
2016-05,9,14,35
2016-06,13,16,35
2016-07,10,15,27
2016-08,19,10,20
2016-09,16,19,20
2016-10,9,15,21
2016-11,10,12,28
2016-12,15,12,23
2017-01,19,14,23
2017-02,17,28,23
2017-03,19,13,18
2017-04,13,15,17
2017-05,9,22,29
2017-06,11,17,33
2017-07,13,19,26
2017-08,10,16,19
2017-09,14,21,17
2017-10,8,11,17
2017-11,12,14,28
2017-12,13,11,20
2018-01,20,19,21
2018-02,18,17,18
2018-03,16,16,19
2018-04,15,13,18
2018-05,12,15,22
2018-06,15,12,26
2018-07,30,14,17
2018-08,14,16,18
2018-09,14,24,17
2018-10,15,16,17
2018-11,25,14,28
2018-12,16,13,23
2019-01,17,17,24
2019-02,17,15,20
2019-03,17,15,19
2019-04,13,16,25
2019-05,17,27,24
2019-06,16,60,21
2019-07,16,40,17
2019-08,16,26,20
2019-09,18,24,19
2019-10,27,17,20
2019-11,17,48,23
2019-12,22,18,21
2020-01,27,14,24
2020-02,19,22,37
2020-03,19,16,23
2020-04,21,12,37
2020-05,18,17,29
2020-06,16,14,25
2020-07,18,15,43
2020-08,17,20,29
2020-09,11,18,19
2020-10,18,15,24
2020-11,13,14,55
2020-12,15,23,32
2021-01,17,24,33
2021-02,17,17,25
2021-03,13,15,23
2021-04,10,11,22
2021-05,15,12,24
2021-06,17,7,24
2021-07,13,9,21
2021-08,15,12,19
2021-09,10,15,18
2021-10,11,13,22
2021-11,14,8,21
